company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Lexington Medical,Mechanical Engineering Intern,Summer 2027,False,,Internship,,Mechanical Design,"Bedford, MA",unknown,3,,,2026-08-31T11:13:30-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/lexingtonmedical/jobs/5400185008
Lexington Medical,Manufacturing Engineering Intern,Summer 2027,False,,Internship,,Manufacturing & Quality,"Bedford, MA",unknown,3,,,2026-08-31T11:18:35-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/lexingtonmedical/jobs/5404584008
Olsson,Mechanical Engineering Internship - Data Center Facilities,Summer 2027,False,,Internship,,Mechanical Design,"North Kansas City, MO; Tulsa, OK",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396012008
Olsson,Structural Engineering Internship - Federal Infrastructure,Summer 2027,False,,Internship,,Structures & FEA,"Overland Park, KS",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396073008
Olsson,Mechanical Engineering Internship - Federal Infrastructure,Summer 2027,False,,Internship,,Mechanical Design,"Overland Park, KS",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396095008
Olsson,Revit Drafting Internship - Mechanical,Not stated,True,,Internship,,Mechanical Design,"North Kansas City, MO; Tulsa, OK",unknown,2,,CAD,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396260008
Olsson,Mechanical Engineering Internship - Industrial Facilities,Not stated,True,,Internship,,Mechanical Design,"Lincoln, NE; Omaha, NE",unknown,2,,AutoCAD,2026-08-31T17:05:11-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5407109008
Olsson,Structural Drafting Internship - Industrial Facilities,Summer 2027,False,,Internship,,Structures & FEA,"Des Moines, IA",unknown,2,,AutoCAD,2026-08-31T17:05:45-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5408530008
Olsson,Mechanical Engineering Internship - Substation and Power Generation,Summer 2027,False,,Internship,,Mechanical Design,"Fayetteville, AR",unknown,2,,AutoCAD; CAD,2026-08-31T17:15:08-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5411244008
WSP,Mechanical Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Mechanical Design,"Richmond, VA, United States",unknown,,,AutoCAD,2026-08-31,date_only,2026-08-31T23:04:21Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94305
Bosch,Mechanical Design Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Fort Lauderdale, FL, United States",unknown,188,,Siemens NX; CAD; FEA,2026-08-31T13:28:48.685Z,exact,2026-08-31T14:10:40Z,https://jobs.smartrecruiters.com/BoschGroup/744000146471610
Alcon,Spring + Summer 2027 Co-Op - Manufacturing Science & Technology,Summer 2027,False,,Co-op,,Manufacturing & Quality,"Houston, Texas",unknown,57,,FMEA,2026-08-31T00:00:00Z,date_only,2026-08-31T14:10:40Z,https://alcon.wd5.myworkdayjobs.com/careers_alcon/job/Houston-Texas/Fall---Spring-2026-2027-Co-Op---Manufacturing-Science---Technology_R-2026-47959
Barr,Internship – Mechanical Engineer (Hybrid),Summer 2027,False,,Internship,,Mechanical Design,"Minneapolis, MN",no-sponsorship,,,SolidWorks; AutoCAD,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://barr.wd1.myworkdayjobs.com/barrcareers/job/Minneapolis-MN/Internship---Mechanical-Engineer--Hybrid-_R-102306
Leidos,Manufacturing/Quality Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Huntsville, AL",citizens-only,79,,CAD,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://leidos.wd5.myworkdayjobs.com/External/job/Huntsville-AL/Manufacturing-Quality-Intern_R-00190547
Michelin,"Summer 2027 Internship: Mechanical Engineer (Emporia, KS)",Summer 2027,False,,Internship,,Mechanical Design,"EMPORIA, KS",unknown,,,FMEA,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://michelinhr.wd3.myworkdayjobs.com/Michelin/job/EMPORIA-KS/XMLNAME-2027-Summer-Mechanical-Engineer--Emporia--KS-_R-2026030587
Micron Technology,"Intern - RDA/Metrology-Process Shift Engineer, TD",Not stated,True,,Internship,,Manufacturing & Quality,"Boise, ID - Main Site",unknown,489,,Python; MATLAB,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---Main-Site/Intern---RDA-Metrology-Process-Shift-Engineer--TD_JR109078
Oshkosh,Engineer Intern - Mechanical (Summer 2027),Summer 2027,False,,Internship,,Mechanical Design,"Appleton, Wisconsin, United States",unknown,2,,CATIA; CAD; PLM,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Appleton-Wisconsin-United-States/Engineer-Intern---Mechanical--Summer-2027-_R49741
Oshkosh,Engineer Intern - Manufacturing (Summer 2027),Summer 2027,False,,Internship,,Manufacturing & Quality,"Kewaunee, Wisconsin, United States",unknown,2,,CAD,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Kewaunee-Wisconsin-United-States/Engineer-Intern---Manufacturing--Summer-2027-_R49737
Stryker,Summer 2027 Internship - Mechanical Engineering - Illinois,Summer 2027,False,,Internship,,Mechanical Design,"Cary, Illinois",unknown,104,,CAD; FEA,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Cary-Illinois/Summer-2027-Internship---Mechanical-Engineering---Illinois_R572602
Stryker,Summer 2027 Internship - Mechanical Engineering - Michigan,Summer 2027,False,,Internship,,Mechanical Design,"Portage, Michigan",unknown,104,,CAD; FEA,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Portage-Michigan/Summer-2027-Internship---Mechanical-Engineering---Michigan_R572603
Stryker,Summer 2027 Internship - Quality Engineering - Michigan,Summer 2027,False,,Internship,,Manufacturing & Quality,"Portage, Michigan",unknown,104,,CAD; LabVIEW,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Portage-Michigan/Summer-2027-Internship---Quality-Engineering---Michigan_R572613
Stryker,Summer 2027 Internship - Mechanical Engineering - Arizona,Summer 2027,False,,Internship,,Mechanical Design,"Tempe, Arizona",unknown,104,,CAD; FEA,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Tempe-Arizona/Summer-2027-Internship---Mechanical-Engineering---Arizona_R572599
Vermeer,Quality Engineer Intern - Summer 2027,Summer 2027,False,,Internship,,Manufacturing & Quality,"Pella, Iowa, USA - Plant 3",unknown,,,GD&T; FMEA; Six Sigma; Lean Manufacturing,2026-08-31T00:00:00Z,date_only,2026-08-31T05:51:47Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Plant-3/Quality-Engineer-Intern---Summer-2027_REQ-22137
Vermeer,Test Engineering Internship Summer 2027,Summer 2027,False,,Internship,,Test & Validation,"Pella, Iowa, USA - Shop 48",unknown,,,,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Shop-48/Test-Engineering-Internship-Summer-2027_REQ-22120
Vermeer,Advanced Manufacturing Intern - Summer 2027,Summer 2027,False,,Internship,,Manufacturing & Quality,"Pella, Iowa, USA - The Center",unknown,,,,2026-08-31T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---The-Center/Advanced-Manufacturing-Intern---Summer-2027_REQ-22140
Vermeer,Design Engineer Intern - Summer 2027,Summer 2027,False,,Internship,,Mechanical Design,"Pella, Iowa, USA - The Center",unknown,,,SolidWorks; FEA,2026-08-31T00:00:00Z,date_only,2026-08-31T05:51:47Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---The-Center/Design-Engineer-Intern---Summer-2027_REQ-22139
Vermeer,Manufacturing Engineer Intern - Summer 2027,Summer 2027,False,,Internship,,Manufacturing & Quality,"Pella, Iowa, USA - The Center",unknown,,,Teamcenter; Windchill; PLM; Lean Manufacturing,2026-08-31T00:00:00Z,date_only,2026-08-31T05:51:47Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---The-Center/Manufacturing-Engineer-Intern---Summer-2027_REQ-22141
Micron Technology,Intern - DRAM Product Test Engineer,Not stated,True,,Internship,,Test & Validation,"Boise, ID - Main Site",unknown,489,,Python; C++; Linux,2026-08-30T00:00:00Z,date_only,2026-08-31T05:51:47Z,https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---Main-Site/DRAM-Prodcut-Test-Engineer-Intern_JR109996
Micron Technology,Intern - DRAM Product Test Engineer,Not stated,True,,Internship,,Test & Validation,"Boise, ID - Main Site",unknown,489,,Python; C++; Linux,2026-08-30T00:00:00Z,date_only,2026-08-31T05:51:47Z,https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---Main-Site/DRAM-Product-Test-Engineer-Intern_JR110025
Northwood Space,Mechanical Engineering Intern (2027 Summer Internship),Summer 2027,False,,Internship,,Mechanical Design,"Torrance, CA",citizens-only,,$36 per hour,SolidWorks; Siemens NX; CAD; ANSYS; DFM/DFA,2026-08-29T00:58:59.904+00:00,exact,2026-08-29T07:15:07Z,https://jobs.ashbyhq.com/northwoodspace/6081eebf-7021-4a3f-a34f-78c91c94fcd3
Re:Build Manufacturing,Process & Mechanical Engineer Co-op/Intern,Not stated,True,,Internship / Co-op,,Mechanical Design,"Rochester, NY",unknown,,,SolidWorks; AutoCAD; CAD; Six Sigma,2026-08-28T08:17:30-04:00,exact,2026-08-28T22:35:45Z,https://job-boards.greenhouse.io/rebuildmanufacturing/jobs/4728423005
Fortive,Test Engineer Co-Op,Fall 2026,False,,Co-op,,Test & Validation,"Everett, WA, United States",unknown,2,,,2026-08-28,date_only,2026-08-28T11:38:04Z,https://ejta.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/10562
Brunswick,Industrial Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Menomonee Falls, WI",no-sponsorship,54,$18–$27/hr,Six Sigma,2026-08-28T00:00:00Z,date_only,2026-08-31T23:04:21Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Menomonee-Falls-WI/Industrial-Engineering-Intern_JR-051429
United Parcel Service (UPS),Summer 2027 Industrial Engineering Co-Op,Summer 2027,False,,Co-op,,Manufacturing & Quality,US - UPSCO GLOBAL OPERATIONS CENTER (KYLOA),citizens-only,,,SQL; GCP,2026-08-28T00:00:00Z,date_only,2026-08-28T22:35:45Z,https://hcmportal.wd5.myworkdayjobs.com/Search/job/US---UPSCO-GLOBAL-OPERATIONS-CENTER-KYLOA/Summer-2027-Industrial-Engineering-Co-Op_R26030116-1
Nidec,Quality Engineer Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"North America/USA/Missouri/St. Louis - WPE, MO",unknown,10,,Six Sigma,2026-08-28T00:00:00Z,date_only,2026-08-28T22:35:45Z,https://nidec.wd1.myworkdayjobs.com/nidec/job/North-AmericaUSAMissouriSt-Louis---WPE-MO/Quality-Engineer-Co-op_R0017397
Shield AI,Summer 2027 - Advanced Manufacturing Engineering Intern,Summer 2027,False,,Internship,,Manufacturing & Quality,"Dallas, Texas",unknown,2,34–52 USD/hr,,2026-08-27T23:18:32Z,exact,2026-08-31T23:04:21Z,https://jobs.lever.co/shieldai/c41c41a2-83d8-41a0-8a3b-ff8b84dc1c8a
ABB,Manufacturing Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Manufacturing & Quality,"USA, NJ, Hackettstown",no-sponsorship,69,$20–$34/hr,,2026-08-27T00:00:00Z,date_only,2026-08-27T22:31:50Z,https://abb.wd3.myworkdayjobs.com/external_career_page/job/USA-NJ-Hackettstown/Manufacturing-Engineering-Intern---Summer-2027_JR00044977
Air Products,Summer Intern/Co-op-Mechanical Engineering (2027),Summer 2027,False,,Internship / Co-op,,Mechanical Design,"Allentown, Pennsylvania",unknown,22,,,2026-08-27T00:00:00Z,date_only,2026-08-27T22:31:50Z,https://airproducts.wd5.myworkdayjobs.com/AP0001/job/Allentown-Pennsylvania/Summer-Intern-Co-op-Mechanical-Engineering--2027-_JR-2026-21956
Brunswick,Manufacturing Engineering Intern,Summer 2027,False,,Internship,,Manufacturing & Quality,"New York Mills, MN",no-sponsorship,54,$18–$27/hr,SolidWorks; AutoCAD; CAD,2026-08-27T00:00:00Z,date_only,2026-08-28T11:38:04Z,https://brunswick.wd1.myworkdayjobs.com/search/job/New-York-Mills-MN/Manufacturing-Engineering-Intern_JR-051341-1
Daikin Applied,HVAC Test Technician Intern,Not stated,True,,Internship,,"Thermal, Fluids & Propulsion","Plymouth, MN 55441",no-sponsorship,3,,,2026-08-27T00:00:00Z,date_only,2026-08-28T22:35:45Z,https://daikinapplied.wd1.myworkdayjobs.com/Daikin-Careers/job/Plymouth-MN-55441/HVAC-Test-Technician-Intern_R003120-1
Micron Technology,Intern - Process Quality Engineering,Not stated,True,,Internship,,Manufacturing & Quality,"Boise, ID - ID1",unknown,489,,,2026-08-27T00:00:00Z,date_only,2026-08-27T22:31:50Z,https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---ID1/Intern---Process-Quality-Engineering_JR109159
Talentpluto,Design Engineering Intern,Not stated,True,,Internship,yes,Mechanical Design,United States (Remote),unknown,,$35–$50/hr,TypeScript; React; Next.js,2026-08-26T00:00:00.000Z,date_only,2026-08-28T11:38:04Z,https://apply.workable.com/talentpluto/j/957E9F890B/
Brunswick,Mercury Marine: Manufacturing/Industrial Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Manufacturing-Industrial-Engineering-Co-op_JR-051389
Brunswick,Mercury Marine: Materials Engineering Co-op,Not stated,True,,Co-op,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Materials-Engineering-Co-op_JR-051138
Brunswick,Mercury Marine: Mechanical Engineering Intern,Summer 2027,False,,Internship,,Mechanical Design,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,Creo; CAD,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Mechanical-Engineering-Intern_JR-051390
Brunswick,Mercury Marine: Quality Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Quality-Engineering-Co-op_JR-051391
Chamberlain Group,Manufacturing Process Documentation Intern (Summer 2027),Summer 2027,False,,Internship,,Manufacturing & Quality,"Malvern, AR",unknown,33,,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://chamberlain.wd1.myworkdayjobs.com/Chamberlain_Group/job/Malvern-AR/Manufacturing-Process-Documentation-Intern--Summer-2027-_JR31463
IMEG,"Mechanical Engineering Intern | Columbus, OH",Summer 2027,False,,Internship,,Mechanical Design,"Columbus, OH",unknown,10,$22/hr,AutoCAD,2026-08-26T00:00:00Z,date_only,2026-08-27T10:05:15Z,https://wd1.myworkdaysite.com/recruiting/imeg/Imeg_Careers/job/Columbus-OH/Mechanical-Engineering-Intern---Columbus--OH_R-16523
Northrop Grumman,2026 Part-Time Mechanical Engineering Intern - Chandler AZ,Fall 2026,False,,Internship,,Mechanical Design,United States-Arizona-Chandler,citizens-only,,$17.75–$32.75/hr,,2026-08-26T00:00:00Z,date_only,2026-08-27T10:05:15Z,https://ngc.wd1.myworkdayjobs.com/Northrop_Grumman_External_Site/job/United-States-Arizona-Chandler/XMLNAME-2026-Part-Time-Mechanical-Engineering-Intern---Chandler-AZ_R10247965
Amcor,Product Development Engineering Intern,Not stated,True,,Internship,,Mechanical Design,RPSNA Lawrence KS,unknown,5,,,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://amcor.wd5.myworkdayjobs.com/amcor_external_career_site/job/RPSNA-Lawrence-KS/Product-Development-Engineering-Intern_REQ_95108
Brunswick,Mercury Marine - Heat Treat Metallurgical Engineer Co-op,Not stated,True,,Co-op,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-25T00:00:00Z,date_only,2026-08-26T02:09:17Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine---Heat-Treat-Metallurgical-Engineer-Co-op_JR-051013
Brunswick,Mercury Marine: Advanced Manufacturing/Operations Analytics Engineering Co-op,Summer 2027,False,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,SQL; CAD; Six Sigma; Azure,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Advanced-Manufacturing-Operations-Analytics-Engineering-Co-op_JR-051238
Brunswick,Mercury Marine: Materials Engineering Intern,Not stated,True,,Internship,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-25T00:00:00Z,date_only,2026-08-26T02:09:17Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Materials-Engineering-Intern_JR-051117
Brunswick,Mechanical Engineer Co-op/Intern,Summer 2027,False,,Internship / Co-op,,Mechanical Design,"Lowell, MI",no-sponsorship,54,$18–$27/hr,CAD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Lowell-MI/Mechanical-Engineer-Co-op-Intern_JR-051322
Brunswick,Electro - Mechanical Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Menomonee Falls, WI",no-sponsorship,54,$18–$27/hr,Creo; CAD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Menomonee-Falls-WI/Electro---Mechanical-Engineering-Intern_JR-051298
Brunswick,Mechanical Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Menomonee Falls, WI",unknown,54,$18–$27/hr,SolidWorks; Creo,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Menomonee-Falls-WI/Mechanical-Engineering-Intern_JR-051231
Brunswick,Mercury Marine: Drives & Propulsion Systems Engineering Intern,Not stated,True,,Internship,,"Thermal, Fluids & Propulsion","Oshkosh, WI",no-sponsorship,54,$18–$27.5/hr,Python; MATLAB; FEA; CFD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Oshkosh-WI/Mercury-Marine--Drives---Propulsion-Systems-Engineering-Intern_JR-051237
IMEG,"Structural Intern | Fairfax, VA",Summer 2027,False,,Internship,,Structures & FEA,"Washington, DC",unknown,10,$22–$25/hr,AutoCAD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://wd1.myworkdaysite.com/recruiting/imeg/Imeg_Careers/job/Washington-DC/Structural-Intern---Fairfax--VA_R-16618
Philips,"Co-op - Robotics Mechatronics, Surgical Robotics - Cambridge, MA - Fall 2026",Fall 2026,False,,Co-op,,Controls & Mechatronics,"Cambridge (US), Massachusetts, United States",unknown,,,SolidWorks; CAD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Cambridge-US-Massachusetts-United-States/Co-op---Robotics-Mechatronics--Surgical-Robotics---Cambridge--MA---Fall-2026_589905
Philips,"Co-op - Robotics Mechatronics, Surgical Robotics - Cambridge, MA - January 2027",Summer 2027,False,,Co-op,,Controls & Mechatronics,"Cambridge (US), Massachusetts, United States",unknown,,,SolidWorks; CAD,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Cambridge-US-Massachusetts-United-States/Co-op---Robotics-Mechatronics--Surgical-Robotics---Cambridge--MA---January-2027_589902
Sensata,Mechanical Engineer Intern (Dynapower) - Summer 2027,Summer 2027,False,,Internship,,Mechanical Design,"Dynapower South Burlington, VT",citizens-only,24,,,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://sensata.wd1.myworkdayjobs.com/Sensata-Careers/job/Dynapower-South-Burlington-VT/Mechanical-Engineer-Intern--Dynapower----Summer-2027_IRC98334
Verdantas,Summer 2027 Hydraulic Modeling Intern,Summer 2027,False,,Internship,,"Thermal, Fluids & Propulsion",Holden MA,unknown,,,CFD,2026-08-25T00:00:00Z,date_only,2026-08-25T13:28:08Z,https://verdantas.wd108.myworkdayjobs.com/Verdantas/job/Holden-MA/Summer-2027-Hydraulic-Modeling-Intern_R-101125-1
Meridian Partners,Mechanical Engineer Co-op,Not stated,True,,Co-op,,Mechanical Design,"Cambridge, MA",citizens-only,,,SolidWorks; CAD; CNC,2026-08-24T22:29:42-04:00,exact,2026-08-25T07:18:21Z,https://job-boards.greenhouse.io/morsecorpcoop/jobs/7968311003
